atleta,athlete
bebé,baby
bus,bus
cable,cable
cámara,camera
capitales,capitals
carpintero,carpenter
catedral,cathedral
círculo,circle
cliente,client
cobra,cobra
café,coffee
colegas,colleagues
coronel,colonel
compositor,composer
computador,computer
cubo,cube
decisión,decision
detectives,detectives
director,director
ingeniero,engineer
garaje,garage
generales,generals
jirafa,giraffe
hamburguesa,hamburger
instituto,institute
oficial,official
organizador,organizer
paciente,patient
pipa,pipe
pirata,pirate
pistola,pistol
planta,plant
plato,plate
problema,problem
profesora,professor
proyecto,project
rata,rat
reportero,reporter
sopa,soup
estatua,statue
estrategia,strategy
suéter,sweater
tanque,tank
teléfono,telephone
turistas,tourists
vendedor,vendors
violín,violin
